REGION,PROV,MUN,CODIGO,PROVNAME,MUNNAME,STDNAME,IPUMS,GEOID_1,GEOID_2
5,21,8,2108,SAN CRISTÓBAL,Los Cacaos,LOS CACAOS,Sabana Grande de Palenque and Los Cacaos,24,113
7,22,1,2201,SAN JUAN,San Juan,SAN JUAN,"San Juan, Juan de Herrera, and Bohechío",26,126
7,22,2,2202,SAN JUAN,Bohechío,BOHECHIO,"San Juan, Juan de Herrera, and Bohechío",26,122
7,22,3,2203,SAN JUAN,El Cercado,EL CERCADO,El Cercado and Vallejuelo,26,123
7,22,4,2204,SAN JUAN,Juan de Herrera,JUAN DE HERRERA,"San Juan, Juan de Herrera, and Bohechío",26,124
7,22,5,2205,SAN JUAN,Las Matas de Farfán,LAS MATAS DE FARFAN,Las Matas de Farfán,26,125
7,22,6,2206,SAN JUAN,Vallejuelo,VALLEJUELO,El Cercado and Vallejuelo,26,127
9,23,1,2301,SAN PEDRO DE MACORÍS,San Pedro de Macorís,SAN PEDRO DE MACORIS,San Pedro de Macorís and Ramón Santana,27,131
9,23,2,2302,SAN PEDRO DE MACORÍS,Los Llanos,LOS LLANOS,"Los Llanos, Quisqueya, and Guayacanes",27,133
9,23,3,2303,SAN PEDRO DE MACORÍS,Ramón Santana,RAMON SANTANA,San Pedro de Macorís and Ramón Santana,27,130
9,23,4,2304,SAN PEDRO DE MACORÍS,Consuelo,CONSUELO,Other municipalities in San Pedro de Macorís,27,128
9,23,5,2305,SAN PEDRO DE MACORÍS,Quisqueya,QUISQUEYA,"Los Llanos, Quisqueya, and Guayacanes",27,129
9,23,6,2306,SAN PEDRO DE MACORÍS,Guayacanes,GUAYACANES,"Los Llanos, Quisqueya, and Guayacanes",27,132
2,24,1,2401,SÁNCHEZ RAMÍREZ,Cotuí,COTUI,Cotuí and Cevicos,28,135
2,24,2,2402,SÁNCHEZ RAMÍREZ,Cevicos,CEVICOS,Cotuí and Cevicos,28,134
2,24,3,2403,SÁNCHEZ RAMÍREZ,Fantino,FANTINO,Fantino,28,136
2,24,4,2404,SÁNCHEZ RAMÍREZ,La Mata,LA MATA,La Mata and La Cueva,28,137
1,25,1,2501,SANTIAGO,Santiago,SANTIAGO,Santiago,30,146
1,25,2,2502,SANTIAGO,Bisonó,BISONO,Bisonó,30,148
1,25,3,2503,SANTIAGO,Jánico,JANICO,Jánico and Sabana Iglesia,30,141
1,25,4,2504,SANTIAGO,Licey al Medio,LICEY AL MEDIO,Licey Al Medio,30,142
1,25,5,2505,SANTIAGO,San José de las Matas,SAN JOSE DE LAS MATAS,San José de las Matas,30,145
1,25,6,2506,SANTIAGO,Tamboril,TAMBORIL,Tamboril,30,147
25,25,7,2507,SANTIAGO,Villa González,VILLA GONZALEZ,Villa González,30,149
