mun,inctot,educdo,edu10
2501,1.44983357139,9.46394085697,7.62777987184
2502,0.858086194006,7.67682119205,6.31386542383
2503,0.948397057606,6.78010948905,5.14511548656
2504,0.993114006906,8.72949002217,7.0518707483
2505,0.841744360107,6.64705882353,5.3897080292
2506,1.0349825188,7.4211409396,6.35305623472
2507,0.944391571632,7.8041958042,6.46791747888
2509,0.769758275626,6.50461613217,0.0
2601,0.988542514803,8.33843797856,6.14027220933
2602,0.988542514803,8.33843797856,6.14027220933
2603,0.988542514803,8.33843797856,6.14027220933
2701,1.20642937702,8.51100377462,4.86803300939
2702,0.885486503891,7.38426818213,4.51788553891
2703,0.825448019349,6.41703719827,2.35380306067
2801,1.54763406763,8.95330630793,6.76467742968
2802,0.927244019935,8.50915371072,5.2990057428
2803,0.927244019935,8.50915371072,5.2990057428
