mun,1,11,12,13,21,22,23,24,31,32,33,34,41,42,51,52,61,71,72,73,74,81,82,83,91,92,93,98,MUNTOTAL,share1,share11,share12,share13,share21,share22,share23,share24,share31,share32,share33,share34,share41,share42,share51,share52,share61,share71,share72,share73,share74,share81,share82,share83,share91,share92,share93,share98
210,5,2,0,1,0,30,8,1,1,0,4,6,10,2,8,35,40,12,10,0,7,0,3,8,62,23,15,5,298,0.0167785234899,0.00671140939597,0.0,0.00335570469799,0.0,0.10067114094,0.0268456375839,0.00335570469799,0.00335570469799,0.0,0.0134228187919,0.0201342281879,0.0335570469799,0.00671140939597,0.0268456375839,0.11744966443,0.134228187919,0.0402684563758,0.0335570469799,0.0,0.0234899328859,0.0,0.010067114094,0.0268456375839,0.208053691275,0.0771812080537,0.0503355704698,0.0167785234899
301,22,4,3,1,2,11,47,2,5,5,12,13,30,9,17,20,16,25,9,0,8,3,2,11,68,14,15,14,388,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268
302,22,4,3,1,2,11,47,2,5,5,12,13,30,9,17,20,16,25,9,0,8,3,2,11,68,14,15,14,388,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268
303,6,2,1,0,1,4,9,12,4,4,4,2,6,2,9,12,38,13,3,0,1,3,2,20,47,35,5,4,249,0.0240963855422,0.00803212851406,0.00401606425703,0.0,0.00401606425703,0.0160642570281,0.0361445783133,0.0481927710843,0.0160642570281,0.0160642570281,0.0160642570281,0.00803212851406,0.0240963855422,0.00803212851406,0.0361445783133,0.0481927710843,0.152610441767,0.0522088353414,0.0120481927711,0.0,0.00401606425703,0.0120481927711,0.00803212851406,0.0803212851406,0.18875502008,0.140562248996,0.0200803212851,0.0160642570281
304,22,4,3,1,2,11,47,2,5,5,12,13,30,9,17,20,16,25,9,0,8,3,2,11,68,14,15,14,388,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268
305,22,4,3,1,2,11,47,2,5,5,12,13,30,9,17,20,16,25,9,0,8,3,2,11,68,14,15,14,388,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268
401,34,3,4,7,7,29,66,25,21,7,6,27,64,28,66,66,21,31,38,2,30,3,61,28,167,22,36,15,914,0.0371991247265,0.00328227571116,0.00437636761488,0.00765864332604,0.00765864332604,0.0317286652079,0.0722100656455,0.027352297593,0.0229759299781,0.00765864332604,0.00656455142232,0.0295404814004,0.0700218818381,0.0306345733042,0.0722100656455,0.0722100656455,0.0229759299781,0.0339168490153,0.0415754923414,0.00218818380744,0.0328227571116,0.00328227571116,0.0667396061269,0.0306345733042,0.182713347921,0.0240700218818,0.0393873085339,0.0164113785558
402,16,1,0,1,2,7,10,1,0,5,6,3,14,2,17,8,16,8,2,0,3,0,6,6,36,22,15,2,209,0.0765550239234,0.00478468899522,0.0,0.00478468899522,0.00956937799043,0.0334928229665,0.0478468899522,0.00478468899522,0.0,0.0239234449761,0.0287081339713,0.0143540669856,0.066985645933,0.00956937799043,0.0813397129187,0.0382775119617,0.0765550239234,0.0382775119617,0.00956937799043,0.0,0.0143540669856,0.0,0.0287081339713,0.0287081339713,0.172248803828,0.105263157895,0.0717703349282,0.00956937799043
403,2,3,1,0,1,6,15,1,2,3,3,5,11,2,7,5,41,8,5,0,0,0,0,5,51,44,8,1,230,0.00869565217391,0.0130434782609,0.00434782608696,0.0,0.00434782608696,0.0260869565217,0.0652173913043,0.00434782608696,0.00869565217391,0.0130434782609,0.0130434782609,0.0217391304348,0.0478260869565,0.00869565217391,0.0304347826087,0.0217391304348,0.178260869565,0.0347826086957,0.0217391304348,0.0,0.0,0.0,0.0,0.0217391304348,0.221739130435,0.191304347826,0.0347826086957,0.00434782608696
404,2,3,1,0,1,6,15,1,2,3,3,5,11,2,7,5,41,8,5,0,0,0,0,5,51,44,8,1,230,0.00869565217391,0.0130434782609,0.00434782608696,0.0,0.00434782608696,0.0260869565217,0.0652173913043,0.00434782608696,0.00869565217391,0.0130434782609,0.0130434782609,0.0217391304348,0.0478260869565,0.00869565217391,0.0304347826087,0.0217391304348,0.178260869565,0.0347826086957,0.0217391304348,0.0,0.0,0.0,0.0,0.0217391304348,0.221739130435,0.191304347826,0.0347826086957,0.00434782608696
