PROV,MUN,sg110,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
20,01,29,2066.58301251,2066.58301251,,3.0,2001
20,01,30,2066.58301251,2066.58301251,,3.0,2001
20,01,31,2066.58301251,2066.58301251,,3.0,2001
20,01,32,2066.58301251,2066.58301251,,3.0,2001
20,01,33,2066.58301251,2066.58301251,,3.0,2001
20,01,34,2066.58301251,2066.58301251,,3.0,2001
20,01,35,2066.58301251,2066.58301251,,3.0,2001
20,01,36,22247.6590977,22081.8221892,,7.66666666667,2001
20,01,37,2066.58301251,2066.58301251,,3.0,2001
20,01,45,5169.64670259,5080.34990576,2009.17792883,6.33333333333,2001
20,01,5,4621.10923631,4612.49847376,851.508741266,4.4,2001
20,01,52,2235.03959736,2186.62114285,759.820065943,6.28571428571,2001
20,01,53,2669.33639116,2669.33639116,,12.0,2001
20,01,55,1767.91711881,1735.7862178,457.805542355,7.66666666667,2001
20,01,60,2605.23404772,2525.24963112,1366.55990874,4.4,2001
20,01,63,621.888406543,617.104649569,,8.0,2001
20,01,65,1626.47737096,1578.63980122,430.538127607,8.5,2001
20,01,74,3013.76689325,3013.76689325,358.781773005,14.5,2001
20,01,75,3157.27960245,3157.27960245,,8.0,2001
20,01,90,822.806199426,820.892696637,1047.64277718,6.66666666667,2001
20,01,91,4018.35585766,4018.35585766,,0.0,2001
20,01,93,2608.74213616,2602.36379353,,9.66666666667,2001
20,02,01,430.538127607,430.538127607,,5.5,2002
20,02,05,430.538127607,430.538127607,,5.5,2002
20,02,1,3195.54965824,3171.63087337,,5.0,2002
20,02,10,2363.17594486,2344.99766836,3731.33043926,6.0,2002
20,02,11,2363.17594486,2344.99766836,3731.33043926,6.0,2002
20,02,12,2363.17594486,2344.99766836,3731.33043926,6.0,2002
20,02,13,2363.17594486,2344.99766836,3731.33043926,6.0,2002
20,02,14,2363.17594486,2344.99766836,3731.33043926,6.0,2002
20,02,40,2870.25418404,2870.25418404,2870.25418404,12.0,2002
20,02,45,8610.76255213,8610.76255213,861.076255213,,2002
20,02,5,3195.54965824,3171.63087337,,5.0,2002
20,02,52,3099.87451877,3099.87451877,1648.00427734,13.0,2002
20,02,53,1722.15251043,1722.15251043,344.430502085,8.0,2002
20,02,60,2425.36478552,2406.70813332,430.538127607,7.25,2002
20,02,80,4066.1934274,4066.1934274,287.025418404,16.3333333333,2002
20,02,85,7534.41723312,,1055.24895076,7.5,2002
20,02,90,2009.17792883,2009.17792883,12437.7681309,8.0,2002
20,02,93,2104.8530683,2095.28555435,344.430502085,8.0,2002
20,03,1,1746.07129529,1736.50378135,,8.5,2003
20,03,10,3934.16173493,3849.0108608,621.888406543,3.8,2003
20,03,11,3934.16173493,3849.0108608,621.888406543,3.8,2003
20,03,12,3934.16173493,3849.0108608,621.888406543,3.8,2003
20,03,13,3934.16173493,3849.0108608,621.888406543,3.8,2003
20,03,14,3934.16173493,3849.0108608,621.888406543,3.8,2003
20,03,20,2981.87518009,2860.6866701,1865.66521963,10.6666666667,2003
20,03,33,574.050836809,574.050836809,,12.0,2003
20,03,36,2981.87518009,2860.6866701,1865.66521963,10.6666666667,2003
20,03,45,1492.5321757,1481.05115897,,8.0,2003
20,03,52,3244.75401568,3208.12410514,236.795970184,9.0,2003
20,03,53,2296.20334724,2296.20334724,,8.0,2003
20,03,55,2128.77185317,2009.17792883,,5.5,2003
20,03,65,2296.20334724,2296.20334724,861.076255213,12.0,2003
20,03,72,574.050836809,574.050836809,,12.0,2003
20,03,74,8108.46806992,8108.46806992,302.23776558,11.75,2003
20,03,80,1148.10167362,1148.10167362,,12.0,2003
20,03,85,8108.46806992,8108.46806992,,,2003
20,03,86,8108.46806992,8108.46806992,,,2003
20,03,90,2272.28456237,2269.89268388,1004.58896442,6.0,2003
20,03,91,1492.5321757,1481.05115897,,8.0,2003
20,03,93,2296.20334724,2296.20334724,,8.0,2003
21,01,01,8706.4376916,8036.71171532,,16.0,2101
21,01,05,8706.4376916,8036.71171532,,16.0,2101
21,01,1,4085.32845529,4081.50144971,430.538127607,7.0,2101
21,01,10,3506.01548581,3479.75266003,1554.72101636,7.0,2101
21,01,11,3506.01548581,3479.75266003,1554.72101636,7.0,2101
21,01,12,3506.01548581,3479.75266003,1554.72101636,7.0,2101
21,01,13,3506.01548581,3479.75266003,1554.72101636,7.0,2101
21,01,14,3506.01548581,3479.75266003,1554.72101636,7.0,2101
21,01,15,2377.85251126,2309.75094698,553.321223257,10.1,2101
21,01,16,2330.09626539,2262.9083987,553.321223257,10.5,2101
21,01,17,1749.41122743,1686.97885006,367.507345725,10.0909090909,2101
21,01,18,2201.59658016,2144.3669009,367.507345725,10.25,2101
21,01,19,2851.66131527,2768.45583565,542.956416482,10.3333333333,2101
