mun,munname,duty02,duty10,pop02,pop10,empop02,empop10,workagepop02,workagepop10,prov
2102,Sabana Grande de Palenque,1.5098727385,1.59039596502,15691,15466,5653,4271,9237,9510,21
2103,Bajos de Haina,2.78606739776,0.544348280159,113890,124193,43261,40042,65783,76499,21
2104,Cambita Garabitos,2.27615095997,1.1066461148,28162,31057,9414,9526,16797,19284,21
2105,Villa Altagracia,5.14265824233,1.37870620425,78507,84312,28037,24937,45519,52190,21
2106,Yaguate,1.26588282251,0.479610894154,39594,42325,13063,11736,23483,26157,21
2107,San Gregorio de Nigua,5.49739839518,0.907085649394,27447,30268,10135,9611,15932,18726,21
2108,Los Cacaos,1.53487063152,1.60322173894,8822,9540,3821,3560,5482,5990,21
2201,San Juan,3.05793991171,1.13017441741,135679,132177,43912,39159,82601,86071,22
2202,Bohechío,3.58196725395,1.15818989479,8963,9685,2363,2578,5342,6324,22
2203,El Cercado,3.91525207078,0.744659397117,24173,20843,5989,4223,14514,13874,22
2204,Juan de Herrera,3.57055971493,1.15666515822,12971,13062,3743,4111,8088,8407,22
2205,Las Matas de Farfán,3.3295553197,0.658337115392,47521,44163,13519,10304,29268,28753,22
2206,Vallejuelo,4.00187269183,0.753318227316,11798,12403,2578,3701,7220,8175,22
2301,San Pedro de Macorís,6.31490458134,1.03623520644,205911,195307,80524,62557,121508,125264,23
2302,Los Llanos,3.33536369342,0.662941814892,25404,22573,8862,6205,14925,14453,23
2303,Ramón Santana,1.65204323708,0.452145979936,9266,8901,3199,2729,5432,5629,23
2304,Consuelo,2.41120911326,0.646004401488,31405,30051,11507,8386,18750,19074,23
2305,Quisqueya,3.60997649017,0.645672825709,18528,19034,6575,5193,10874,12148,23
2306,Guayacanes,3.41778618996,0.668679914848,11230,14592,4401,4925,6245,8841,23
2401,Cotuí,6.66726949233,1.46936507246,74056,76554,25104,22144,46174,49599,24
2402,Cevicos,3.20600781305,0.715004187789,13892,13759,4458,3538,8422,8921,24
2403,Fantino,3.68498704481,0.739202494114,22675,22117,8105,6878,14409,14577,24
2404,La Mata,2.59641432683,1.37140357433,40556,38962,12267,10492,24989,24981,24
2501,Santiago,5.25700157367,1.46208423261,636811,691262,262321,240893,387778,437188,25
2502,Bisonó,11.3021143449,4.68216138479,42210,42092,16502,14254,25141,26586,25
2503,Jánico,1.58734104157,0.952530216236,20913,16993,6831,4250,13086,11633,25
2504,Licey Al Medio,7.33066706707,2.6556131455,25712,25539,9679,8769,15726,16836,25
2505,San José de las Matas,2.73431253082,1.33476889282,44475,38628,15456,11641,27991,25773,25
2506,Tamboril,2.11117773726,0.342476124577,50833,51695,18872,16981,30754,32907,25
2507,Villa González,11.0375993324,3.48594430929,33573,37349,12709,11915,20025,23944,25
2508,Puñal,0.0,0.269295087117,41491,46516,15307,14383,25412,29548,25
2509,Sabana Iglesia,1.82783889296,0.0,12232,13348,3949,3741,7680,8738,25
2601,San Ignacio de Sabaneta,6.14827240218,1.82529131469,35654,34540,11864,9496,22992,23170,26
2602,Villa Los Almácigos,2.41380893138,0.694873893266,12312,11183,3454,2666,7600,7362,26
2603,Monción,3.7551005703,1.04196165094,11663,11753,4467,3447,7051,7866,26
2701,Mao,5.63677538736,1.7579164981,74760,76863,29563,26940,45284,49695,27
2702,Esperanza,5.51460205186,1.19399503466,61903,62205,24853,20468,35840,38295,27
2703,Laguna Salada,4.86716341354,2.38086086344,21630,23962,7444,8086,13031,15503,27
2801,Bonao,4.97042159114,0.64918995503,126668,125338,42712,37660,76114,80037,28
2802,Maimón,2.12748453014,0.507933734228,17439,18952,5602,6123,10674,12016,28
2803,Piedra Blanca,1.63131659392,0.408756037123,23511,20934,8004,5778,13937,13289,28
2901,Monte Plata,3.40477873742,1.13876714788,45881,46723,17753,14613,28063,30003,29
2902,Bayaguana,4.15696310114,1.15262029496,33122,31889,12028,9437,19621,20765,29
2903,Sabana Grande de Boyá,2.49376075096,0.648165262733,32686,31096,10830,8690,19630,19915,29
2904,Yamasá,2.46525351668,0.725093906207,51072,55348,16080,15036,30211,35019,29
2905,Peralvillo,2.62563839911,0.217418993575,17615,20900,5901,5696,10551,13099,29
