HS2,year,duty
37,1996,8.2
37,1997,8.2
37,1998,8.2
37,1999,8.2
37,2000,8.2
37,2001,7.77142857143
37,2002,7.77142857143
37,2003,7.77142857143
37,2004,7.77142857143
37,2005,7.77142857143
37,2006,7.77142857143
38,1996,3.20967741935
38,1997,3.20967741935
38,1998,3.20967741935
38,1999,3.20967741935
38,2000,3.20967741935
38,2001,3.14516129032
38,2002,3.36451612903
38,2003,3.36451612903
38,2004,3.36451612903
38,2005,3.36451612903
38,2006,3.36451612903
39,1996,8.14844444
39,1997,8.14844444
39,1998,8.14844444
39,1999,8.14844444
39,2000,8.14844444
39,2001,9.498476184
39,2002,9.542476184
39,2003,9.518476184
39,2004,9.518476184
39,2005,9.518476184
39,2006,9.518476184
40,1996,9.58333331944
40,1997,9.58333331944
40,1998,9.58333331944
40,1999,9.58333331944
40,2000,9.58333331944
40,2001,8.79259258333
40,2002,8.79259258333
40,2003,8.63287036111
40,2004,8.63287036111
40,2005,8.63287036111
40,2006,8.63287036111
41,1996,5.8125
41,1997,5.8125
41,1998,5.8125
41,1999,5.8125
41,2000,5.8125
41,2001,5.8125
41,2002,5.8125
41,2003,5.70833333333
41,2004,5.70833333333
41,2005,5.70833333333
41,2006,5.70833333333
42,1996,17.1363636364
42,1997,17.1363636364
42,1998,17.1363636364
42,1999,17.1363636364
42,2000,17.1363636364
42,2001,17.1363636364
42,2002,17.1363636364
42,2003,17.1363636364
42,2004,17.1363636364
42,2005,17.1363636364
42,2006,17.1363636364
43,1996,7.85714285714
43,1997,7.85714285714
43,1998,7.85714285714
43,1999,7.85714285714
43,2000,7.85714285714
43,2001,6.64285714286
43,2002,6.64285714286
43,2003,6.64285714286
43,2004,6.64285714286
43,2005,6.64285714286
43,2006,6.64285714286
44,1996,6.69327730882
44,1997,6.69327730882
44,1998,6.69327730882
44,1999,6.69327730882
44,2000,6.69327730882
44,2001,6.09978991176
44,2002,6.09978991176
44,2003,6.09978991176
44,2004,6.09978991176
44,2005,6.09978991176
44,2006,6.09978991176
45,1996,8.28571428571
45,1997,8.28571428571
45,1998,8.28571428571
45,1999,8.28571428571
45,2000,8.28571428571
45,2001,7.57142857143
45,2002,7.57142857143
45,2003,7.57142857143
45,2004,7.57142857143
45,2005,7.57142857143
45,2006,7.57142857143
46,1996,12.8
46,1997,12.8
46,1998,12.8
46,1999,12.8
46,2000,12.8
46,2001,12.8
46,2002,12.8
46,2003,12.8
46,2004,12.8
46,2005,12.8
46,2006,12.8
47,1996,3.0
47,1997,3.0
47,1998,3.0
47,1999,3.0
47,2000,3.0
47,2001,3.0
47,2002,3.0
47,2003,3.0
47,2004,3.0
47,2005,3.0
47,2006,3.0
48,1996,8.36764705882
48,1997,8.36764705882
48,1998,8.36764705882
48,1999,8.36764705882
48,2000,8.36764705882
48,2001,8.5713507549
48,2002,8.5713507549
48,2003,8.69414734314
48,2004,8.69414734314
48,2005,8.69414734314
48,2006,8.6887997549
49,1996,8.44736842105
49,1997,8.44736842105
49,1998,8.44736842105
49,1999,8.44736842105
49,2000,8.44736842105
49,2001,8.01315789474
49,2002,8.01315789474
49,2003,8.01315789474
49,2004,8.01315789474
49,2005,8.01315789474
49,2006,8.01315789474
50,1996,0.0
50,1997,0.0
50,1998,0.0
50,1999,0.0
50,2000,0.0
50,2001,0.0
50,2002,0.0
50,2003,0.0
50,2004,0.0
50,2005,0.0
50,2006,0.0
51,1996,0.0
51,1997,0.0
51,1998,0.0
51,1999,0.0
51,2000,0.0
51,2001,0.0
51,2002,0.0
51,2003,0.0
51,2004,0.0
51,2005,0.0
51,2006,0.0
52,1996,0.0
52,1997,0.0
52,1998,0.0
52,1999,0.0
52,2000,0.0
52,2001,2.51908396947
52,2002,2.51908396947
52,2003,2.13740458015
52,2004,2.13740458015
52,2005,2.13740458015
52,2006,2.13740458015
53,1996,0.0
53,1997,0.0
53,1998,0.0
53,1999,0.0
53,2000,0.0
53,2001,0.0
53,2002,0.0
53,2003,0.0
53,2004,0.0
53,2005,0.0
53,2006,0.0
54,1996,0.0
54,1997,0.0
54,1998,0.0
54,1999,0.0
54,2000,0.0
54,2001,0.681818181818
54,2002,0.681818181818
54,2003,0.378787878788
54,2004,0.378787878788
54,2005,0.378787878788
54,2006,0.378787878788
55,1996,0.0
55,1997,0.0
55,1998,0.0
55,1999,0.0
55,2000,0.0
55,2001,0.0
55,2002,0.0
55,2003,0.0
55,2004,0.0
55,2005,0.0
55,2006,0.0
56,1996,5.45454545455
56,1997,5.45454545455
56,1998,5.45454545455
56,1999,5.45454545455
56,2000,5.45454545455
56,2001,7.15151515152
56,2002,7.15151515152
56,2003,7.15151515152
56,2004,7.15151515152
56,2005,7.15151515152
56,2006,7.75757575758
57,1996,20.0
57,1997,20.0
57,1998,20.0
57,1999,20.0
57,2000,20.0
57,2001,20.0
57,2002,20.0
57,2003,20.0
57,2004,20.0
57,2005,20.0
57,2006,20.0
58,1996,2.31707317073
58,1997,2.31707317073
58,1998,2.31707317073
58,1999,2.31707317073
58,2000,2.31707317073
58,2001,3.34146341463
58,2002,3.34146341463
58,2003,3.34146341463
58,2004,3.34146341463
58,2005,3.34146341463
58,2006,3.34146341463
59,1996,7.0
59,1997,7.0
59,1998,7.0
59,1999,7.0
59,2000,7.0
59,2001,7.0
59,2002,7.0
59,2003,7.0
59,2004,7.0
59,2005,7.0
59,2006,7.0
60,1996,0.0
60,1997,0.0
60,1998,0.0
60,1999,0.0
60,2000,0.0
60,2001,8.0
60,2002,8.0
60,2003,8.0
60,2004,8.0
60,2005,8.0
60,2006,8.0
61,1996,19.8757309912
61,1997,19.8757309912
61,1998,19.8757309912
61,1999,19.8757309912
61,2000,19.8757309912
61,2001,19.8757309912
61,2002,19.8757309912
61,2003,19.8757309912
61,2004,19.8757309912
61,2005,19.8757309912
61,2006,19.8757309912
62,1996,20.0
62,1997,20.0
62,1998,20.0
62,1999,20.0
62,2000,20.0
62,2001,20.0
62,2002,20.0
62,2003,20.0
62,2004,20.0
62,2005,20.0
62,2006,20.0
63,1996,18.9717514068
63,1997,18.9717514068
63,1998,18.9717514068
63,1999,18.9717514068
63,2000,18.9717514068
63,2001,19.073446322
63,2002,19.073446322
63,2003,19.073446322
63,2004,19.073446322
63,2005,19.073446322
63,2006,19.073446322
64,1996,18.6206896552
64,1997,18.6206896552
64,1998,18.6206896552
64,1999,18.6206896552
64,2000,18.6206896552
64,2001,18.6206896552
64,2002,18.6206896552
64,2003,18.6206896552
64,2004,18.6206896552
64,2005,18.6206896552
64,2006,18.6206896552
65,1996,15.1818181818
65,1997,15.1818181818
65,1998,15.1818181818
65,1999,15.1818181818
65,2000,15.1818181818
65,2001,15.1818181818
65,2002,15.1818181818
65,2003,15.1818181818
65,2004,15.1818181818
65,2005,15.1818181818
65,2006,15.1818181818
66,1996,14.8571428571
66,1997,14.8571428571
66,1998,14.8571428571
66,1999,14.8571428571
66,2000,14.8571428571
66,2001,14.8571428571
66,2002,14.8571428571
66,2003,14.8571428571
66,2004,14.8571428571
66,2005,14.8571428571
66,2006,14.8571428571
67,1996,17.0
67,1997,17.0
67,1998,17.0
67,1999,17.0
67,2000,17.0
67,2001,17.0
67,2002,17.0
67,2003,17.0
67,2004,17.0
67,2005,17.0
67,2006,17.0
68,1996,11.0416666667
68,1997,11.0416666667
68,1998,11.0416666667
68,1999,11.0416666667
68,2000,11.0416666667
68,2001,11.7083333333
68,2002,11.7083333333
68,2003,11.7083333333
68,2004,11.7083333333
68,2005,11.7083333333
68,2006,11.7083333333
69,1996,12.5172413793
69,1997,12.5172413793
69,1998,12.5172413793
69,1999,12.5172413793
69,2000,12.5172413793
69,2001,12.5172413793
69,2002,12.5172413793
69,2003,12.5172413793
69,2004,12.5172413793
69,2005,12.5172413793
69,2006,12.5172413793
70,1996,7.93650793651
70,1997,7.93650793651
70,1998,7.93650793651
70,1999,7.93650793651
70,2000,7.93650793651
70,2001,8.03174603175
70,2002,8.03174603175
70,2003,8.03174603175
70,2004,8.03174603175
70,2005,8.03174603175
70,2006,8.03174603175
71,1996,17.7307692308
71,1997,17.7307692308
71,1998,17.7307692308
71,1999,17.7307692308
71,2000,17.7307692308
71,2001,17.7307692308
71,2002,17.7307692308
71,2003,17.9230769231
71,2004,17.9230769231
71,2005,17.9230769231
71,2006,17.9230769231
72,1996,6.67251461988
72,1997,6.67251461988
72,1998,6.67251461988
72,1999,6.67251461988
72,2000,6.67251461988
72,2001,6.20175438596
72,2002,6.20175438596
72,2003,6.20175438596
72,2004,6.20175438596
72,2005,6.20175438596
72,2006,6.20175438596
73,1996,11.2217630826
73,1997,11.2217630826
73,1998,11.2217630826
73,1999,11.2217630826
73,2000,11.2217630826
73,2001,12.3539944876
73,2002,12.3539944876
73,2003,12.3539944876
73,2004,12.3539944876
73,2005,12.3539944876
73,2006,12.3539944876
74,1996,6.31034482759
74,1997,6.31034482759
74,1998,6.31034482759
74,1999,6.31034482759
74,2000,6.31034482759
74,2001,6.31034482759
74,2002,6.31034482759
74,2003,6.31034482759
74,2004,6.31034482759
74,2005,6.31034482759
74,2006,6.31034482759
75,1996,4.47058823529
75,1997,4.47058823529
75,1998,4.47058823529
75,1999,4.47058823529
75,2000,4.47058823529
75,2001,4.47058823529
75,2002,4.47058823529
75,2003,4.47058823529
75,2004,4.47058823529
75,2005,4.47058823529
75,2006,4.47058823529
76,1996,7.25925925
