occ,mun,inctot,educdo,edu10
11,802,0.842303877242,3.33333333333,
11,901,1.26345581586,5.0,8.03571428571
11,902,1.26345581586,5.0,8.03571428571
11,903,1.26345581586,5.0,8.3125
11,904,1.26345581586,5.0,8.3125
11,1001,1.29153261177,3.6,5.0
11,1002,1.29153261177,3.6,5.0
11,1003,1.29153261177,3.6,5.0
11,1004,1.29153261177,3.6,5.0
11,1005,1.29153261177,3.6,5.0
11,1006,1.29153261177,3.6,5.0
11,1101,0.421151938621,2.0,9.79166666667
11,1102,0.421151938621,2.0,12.0833333333
11,1201,0.449228734529,4.33333333333,13.3333333333
11,1202,0.449228734529,4.33333333333,13.3333333333
11,1301,0.241220837172,1.18124207858,12.5227272727
11,1302,1.61186994125,7.01208981002,16.0
11,1303,0.977156517937,5.17905236908,10.0
11,1304,2.24614367264,4.0,12.0
11,1402,4.21151938621,4.0,6.0
11,1404,4.21151938621,4.0,6.0
11,1501,0.842303877242,5.0,14.75
11,1502,0.842303877242,5.0,12.75
11,1503,0.842303877242,5.0,7.33333333333
11,1504,0.842303877242,5.0,7.33333333333
11,1505,0.842303877242,5.0,14.75
11,1506,0.842303877242,5.0,12.75
11,1601,0.189518372379,2.5,3.0
11,1602,0.189518372379,2.5,3.0
11,1701,0.191675534207,0.775384615385,8.65625
11,1702,0.425831404606,3.0,16.25
11,1801,0.308844754989,8.0,9.875
11,1805,0.40009434169,4.0,7.25
11,1806,0.40009434169,4.0,7.25
11,1807,0.238652765219,2.5,10.9583333333
11,1808,0.40009434169,4.0,7.25
11,1809,0.238652765219,2.5,10.9583333333
11,1901,0.421151938621,0.0,15.625
11,2102,0.751054290541,4.0,
11,2105,0.603651112023,3.5,10.45
11,2106,0.421151938621,3.0,
11,2108,0.751054290541,4.0,
11,2201,0.0842303877242,5.0,11.5
11,2202,0.0842303877242,5.0,11.5
11,2203,0.308844754989,5.0,7.33333333333
11,2204,0.0842303877242,5.0,11.5
11,2205,0.701919897701,8.0,8.0
11,2206,0.308844754989,5.0,7.33333333333
11,2301,1.02480305064,5.0,8.8
11,2302,0.561535918161,6.0,4.5
11,2303,1.02480305064,5.0,8.8
11,2304,3.18671633556,7.5,13.5
11,2305,0.561535918161,6.0,4.5
11,2306,0.561535918161,6.0,4.5
11,2401,0.280767959081,2.0,10.8235294118
11,2402,0.280767959081,2.0,10.8235294118
11,2501,0.325690832533,4.0,12.3359375
11,2502,0.421151938621,3.0,9.0
11,2503,0.252691163173,0.0,2.0
11,2505,0.421151938621,2.0,1.0
11,2506,0.875294112434,5.5,8.5
11,2509,0.224614367264,4.0,
11,2601,0.350959948851,3.5,6.33333333333
11,2602,0.350959948851,3.5,6.33333333333
11,2603,0.350959948851,3.5,6.33333333333
11,2701,0.641554786499,3.0,10.0
11,2702,0.641554786499,3.0,11.5
11,2703,0.641554786499,3.0,6.0
11,2801,0.533459122253,3.0,11.5416666667
11,2802,0.1942075468,2.24481327801,2.0
11,2803,0.1942075468,2.24481327801,2.0
11,2901,0.421151938621,3.0,10.375
11,2904,1.82499173402,8.0,16.0
11,3001,5.05382326345,8.0,10.3333333333
11,3002,0.346280482866,2.66666666667,5.0
11,3003,0.346280482866,2.66666666667,5.0
