HS6,1996DFLines,1996AvgRate,1996NumLines,1997DFLines,1997AvgRate,1997NumLines,1998DFLines,1998AvgRate,1998NumLines,1999DFLines,1999AvgRate,1999NumLines,2000DFLines,2000AvgRate,2000NumLines,2001DFLines,2001AvgRate,2001NumLines,2002DFLines,2002AvgRate,2002NumLines,2003DFLines,2003AvgRate,2003NumLines,2004DFLines,2004AvgRate,2004NumLines,2005DFLines,2005AvgRate,2005NumLines,2006DFLines,2006AvgRate,2006NumLines,Base,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015
'020410,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020421,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020422,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020423,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020430,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020441,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020442,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020443,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020450,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020500,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020610,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020621,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020622,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020629,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020630,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020641,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020649,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020680,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75
