occ,mun,inctot,educdo,edu10
1,1802,0.517350444663,11.0,
1,1803,0.517350444663,11.0,
1,1804,0.970032083744,10.0,8.0
1,1805,1.30792659291,11.75,
1,1806,1.30792659291,11.75,
1,1807,24.20922929,12.8571428571,11.5
1,1808,1.30792659291,11.75,
1,1809,24.20922929,12.8571428571,11.5
1,1901,1.06703529212,11.0,
1,1902,0.970032083744,10.0,
1,1903,0.323829043956,11.0,11.0
1,2001,1.42271372282,12.0416666667,8.0
1,2002,0.970032083744,11.0,
1,2003,0.970032083744,11.0,
1,2101,1.28078509521,11.645,10.3333333333
1,2102,1.0131446208,9.0,
1,2103,1.13904862634,10.7142857143,4.5
1,2104,1.05625715785,10.5,
1,2105,1.2255142838,11.625,16.0
1,2106,1.10745329561,11.0,7.0
1,2107,1.85922816051,10.0,
1,2108,1.0131446208,9.0,
1,2201,1.23576265054,11.5870103093,14.5
1,2202,1.23576265054,11.5870103093,14.5
1,2203,1.17176441974,9.03982300885,
1,2204,1.23576265054,11.5870103093,14.5
1,2205,1.29233306641,10.4677419355,7.0
1,2206,1.17176441974,9.03982300885,
1,2301,1.13633302273,12.3684210526,12.1666666667
1,2302,0.501183243268,17.5,8.0
1,2303,1.13633302273,12.3684210526,12.1666666667
1,2304,1.06056841156,11.2,
1,2305,0.501183243268,17.5,8.0
1,2306,0.501183243268,17.5,8.0
1,2401,1.28875691126,11.7142857143,6.0
1,2402,1.28875691126,11.7142857143,6.0
1,2403,1.30415424592,10.3333333333,
1,2404,1.33648864871,14.6666666667,12.0
1,2501,1.8057717846,12.2573529412,11.8333333333
1,2502,0.840694472578,10.3333333333,
1,2504,1.22870730608,11.3333333333,
1,2506,1.78378122066,10.0,
1,2507,0.444598038383,10.0,
1,2509,1.00236648654,10.8,
1,2601,0.970032083744,9.0,8.5
1,2602,0.970032083744,9.0,8.5
1,2603,0.970032083744,9.0,8.5
1,2701,1.46012332903,11.6269352064,16.0
1,2702,4.99914515129,10.8427565029,10.0
1,2703,2.00211352314,11.3502808989,
1,2801,78.4067138178,12.7595005429,11.3333333333
1,2802,1.55099194472,12.2204415954,
1,2803,1.55099194472,12.2204415954,
1,2901,1.80437294351,11.2365444262,
1,2902,1.11065263388,11.3900716162,
1,2903,0.575860316381,10.1992570078,
1,2904,1.27940319287,11.013830286,12.0
1,2905,1.11020485634,10.3468547913,
1,3001,1.17616390154,13.75,9.0
1,3101,0.711356861412,10.6666666667,6.0
1,3201,1.69035252379,12.5021929825,9.98717948718
1,3202,7.14451725679,12.7107142857,9.71428571429
1,3203,2.71971547909,12.2199074074,10.140625
1,3204,0.975323167837,11.1363636364,10.2
1,3205,1.06703529212,11.0,13.0
1,3206,3.21381209908,12.1944444444,8.33333333333
1,3207,1.93066024534,12.0833333333,12.0
11,101,8.4634319228,16.15,14.6843065693
11,201,11.2307183632,16.5,8.05
11,203,1.12307183632,12.0,4.66666666667
11,207,11.2307183632,16.5,8.05
11,208,1.12307183632,12.0,4.66666666667
11,209,1.12307183632,12.0,4.66666666667
11,301,5.61535918161,16.0,10.75
11,302,5.61535918161,16.0,10.75
11,303,1.4038397954,15.0,4.0
11,304,5.61535918161,16.0,10.75
11,305,5.61535918161,16.0,10.75
11,401,1.68460775448,13.0,11.6875
11,403,4.21151938621,9.0,5.0
11,404,4.21151938621,9.0,5.0
11,405,1.57370441065,16.0,9.2
11,406,1.68460775448,13.0,11.6875
11,407,1.68460775448,13.0,11.6875
11,408,1.68460775448,13.0,11.6875
11,411,1.57370441065,16.0,9.2
11,601,13.5064165579,13.8315789474,13.1363636364
11,602,1.4038397954,10.0,6.33333333333
11,603,1.4038397954,10.0,8.0
11,604,1.4038397954,10.0,6.5
11,605,1.4038397954,10.0,6.33333333333
11,606,1.4038397954,10.0,6.5
11,607,1.4038397954,10.0,8.0
11,701,9.63969992843,15.0,6.27272727273
11,702,9.63969992843,15.0,6.27272727273
11,705,9.63969992843,15.0,6.27272727273
11,801,5.19420724299,13.0,13.2
