mun,duty02,duty13,inc02,edu02,edu10,grossalary13,occinc13,frstsourcinc13,edu13,prov
1502,9.13072321216,1.80570265439,1767.18915945,6.54899957192,5.16476149796,2480.33901195,2459.00522761,1514.7128622,6.0,15
1503,9.27878888615,1.83394143018,1723.37942834,7.04077211196,4.76677071747,3502.51377571,3732.12454291,50032.3647931,6.41071428571,15
1504,9.4639052448,2.28513467969,1723.37942834,7.04077211196,4.76677071747,3495.86329045,3470.56253135,1142.76300084,4.40740740741,15
1505,9.25716926441,1.69476043874,1888.91568539,7.4454185675,5.39095599182,2406.79255256,2228.54735575,421.142828911,6.73333333333,15
1506,9.32457798681,1.77167567278,1767.18915945,6.54899957192,5.16476149796,2343.46870604,2310.7091703,1717.70552994,6.94230769231,15
1601,10.9438959108,2.47527370261,2910.91549259,7.1203271028,4.25716945996,2164.14028587,2141.72042924,805.352846099,5.18965517241,16
1701,10.5043732565,1.44213530854,1768.75721044,7.40288635427,4.49540125349,2439.44016781,2284.00949814,577.695078339,7.26136363636,17
1702,8.50431834091,0.809624770154,1663.47329729,6.66139042937,1.92211603284,2769.7952876,2824.28062996,916.413283956,7.9,17
1801,10.6866629886,1.63856195814,2612.94567023,8.99534486072,7.23205154809,3107.40170474,2997.11941898,2506.39827162,8.88188976378,18
1804,7.33208643081,1.83829444324,1741.76840687,7.55082500804,6.50394963211,2225.07096093,2163.92206745,1640.82864188,11.1304347826,18
1806,7.09920163007,1.47360997219,1682.86096458,7.54407491562,5.80885432891,2128.17388354,2244.34742164,1242.82006169,8.3125,18
1807,11.0646105107,1.60599017541,2476.94131384,7.84170732008,6.72062401416,1814.19199459,1860.28349303,1588.20731517,10.84,18
1808,7.09920163007,1.47360997219,1682.86096458,7.54407491562,5.80885432891,2198.05917191,2339.45510856,1223.78602422,7.51724137931,18
1901,12.7529339409,0.912634476584,2295.62655643,9.29745055256,7.41215850857,2401.15723568,2556.719098,17478.1862547,9.59259259259,19
1902,7.25910222966,1.00592429872,1578.57459289,8.41160132341,6.43940945838,2695.22691586,2719.09384203,1534.97605945,6.44444444444,19
1903,9.35051732133,1.62949339348,1896.3718707,8.60672458172,6.49551179987,2623.80822134,2575.01390022,977.630653964,7.0,19
2001,9.07291364154,1.1077777097,2060.98042371,7.70765027322,6.45224425887,3494.34187626,3443.33584412,999.817964127,6.01315789474,20
2002,6.40232366136,0.471900594558,2006.81671457,7.33011363636,6.72245467225,3285.86698989,2908.69063138,2397.17541033,9.45833333333,20
2003,4.9769018016,0.420822720519,2006.81671457,7.33011363636,6.72245467225,3394.73998332,3357.79874892,842.40593514,8.23529411765,20
2101,9.65174031636,1.14176375312,3001.81639517,9.4540748163,7.20613407525,3322.4454449,3306.77759927,1602.60588616,9.07359307359,21
2102,6.01988221712,2.39099267476,1859.02869455,7.2309602649,5.77634099617,2695.89783935,2649.35768249,558.577557435,7.35483870968,21
2103,6.77853959243,0.65414375334,2607.0156177,9.25943396226,7.33345077512,3086.00831411,3029.7378076,1484.16838851,9.55223880597,21
2104,7.02542748222,1.63205989859,3540.70178154,8.41387959866,6.22407628129,3683.64409797,3760.06168364,1608.61003866,9.38709677419,21
2105,10.342703769,1.49700648159,2010.16409647,7.72813852814,6.35042956599,2797.56765448,2786.91430363,1516.37039203,8.76470588235,21
2106,5.79693959198,0.999855785428,1860.92772529,6.94659300184,6.0937408599,1559.35301276,1575.67728887,577.608212449,6.18518518519,21
2107,7.40042972449,0.763341101594,1823.91708561,7.9988372093,6.59337349398,2291.71193097,2398.59749082,1218.22029495,7.77142857143,21
2108,6.01988221712,2.39099267476,1859.02869455,7.2309602649,5.77634099617,1680.46548537,1784.19415856,746.266087851,4.61538461538,21
2201,9.8353518594,1.8293408961,2182.6577011,8.21525809574,5.63558367512,2508.59262746,2403.85889564,4181.31645246,8.10245901639,22
