mun,duty02,duty13,inc02,edu02,edu10,grossalary13,occinc13,frstsourcinc13,edu13,prov
1404,14.0,4.43151515151,2069.05947444,8.13636118364,5.51159669585,2474.67428047,2464.00282261,455.279718673,8.15384615385,14
1501,16.0596440695,5.9778492851,1888.91568539,7.4454185675,5.39095599182,2508.04590604,2490.88000602,1120.26818096,5.68292682927,15
1503,12.6788319034,1.3977653112,1723.37942834,7.04077211196,4.76677071747,3502.51377571,3732.12454291,50032.3647931,6.41071428571,15
1506,5.28378378378,1.09416520979,1767.18915945,6.54899957192,5.16476149796,2343.46870604,2310.7091703,1717.70552994,6.94230769231,15
1601,9.0,3.52531468532,2910.91549259,7.1203271028,4.25716945996,2164.14028587,2141.72042924,805.352846099,5.18965517241,16
1701,14.1339128301,2.64009019371,1768.75721044,7.40288635427,4.49540125349,2439.44016781,2284.00949814,577.695078339,7.26136363636,17
1702,20.0,11.25,1663.47329729,6.66139042937,1.92211603284,2769.7952876,2824.28062996,916.413283956,7.9,17
1801,12.1751311093,3.14481886209,2612.94567023,8.99534486072,7.23205154809,3107.40170474,2997.11941898,2506.39827162,8.88188976378,18
1804,20.0,10.2348484848,1741.76840687,7.55082500804,6.50394963211,2225.07096093,2163.92206745,1640.82864188,11.1304347826,18
1807,20.7352421108,8.1182009403,2476.94131384,7.84170732008,6.72062401416,1814.19199459,1860.28349303,1588.20731517,10.84,18
1901,18.814690047,0.892531855995,2295.62655643,9.29745055256,7.41215850857,2401.15723568,2556.719098,17478.1862547,9.59259259259,19
1902,3.0,1.68,1578.57459289,8.41160132341,6.43940945838,2695.22691586,2719.09384203,1534.97605945,6.44444444444,19
1903,17.0,6.83712121212,1896.3718707,8.60672458172,6.49551179987,2623.80822134,2575.01390022,977.630653964,7.0,19
2001,11.2962962963,5.69254856255,2060.98042371,7.70765027322,6.45224425887,3494.34187626,3443.33584412,999.817964127,6.01315789474,20
2003,3.77272727273,0.511363636364,2006.81671457,7.33011363636,6.72245467225,3394.73998332,3357.79874892,842.40593514,8.23529411765,20
2101,11.8468733985,2.11320872648,3001.81639517,9.4540748163,7.20613407525,3322.4454449,3306.77759927,1602.60588616,9.07359307359,21
2103,7.13570362672,1.55646344777,2607.0156177,9.25943396226,7.33345077512,3086.00831411,3029.7378076,1484.16838851,9.55223880597,21
2105,16.8792988868,3.50221099533,2010.16409647,7.72813852814,6.35042956599,2797.56765448,2786.91430363,1516.37039203,8.76470588235,21
2107,6.59444843209,1.19808456722,1823.91708561,7.9988372093,6.59337349398,2291.71193097,2398.59749082,1218.22029495,7.77142857143,21
2201,19.2666666667,9.9014951317,2182.6577011,8.21525809574,5.63558367512,2508.59262746,2403.85889564,4181.31645246,8.10245901639,22
2301,13.9021418799,1.43863655881,2734.89117463,8.92771322947,7.72448060526,2654.84429001,2644.7675754,1148.64758471,9.02843601896,23
2304,3.0,1.68,1946.752041,7.77404718693,6.9104040404,2955.61434754,2927.56667888,572.979275247,9.09375,23
2401,14.1512782603,2.45766891696,2465.17356279,9.2182952183,6.78362248439,3788.84144899,3804.58193536,2805.4918443,9.16363636364,24
2403,5.18503118503,1.00999865519,2119.38565926,9.01104100946,7.4574270557,2354.59817374,2340.74177423,1325.89797446,7.44827586207,24
2501,13.8191978804,3.08814083864,3009.40511635,9.46394085697,7.62777987184,3725.28540392,3783.07191572,3659.19480107,9.41363636364,25
