2503,0,1,0,1,3,6,15,0,1,2,2,8,17,5,14,17,25,28,7,2,11,2,2,13,66,7,23,0
2504,3,0,3,1,1,9,18,5,2,3,5,8,26,14,19,34,26,47,25,9,46,0,30,27,57,4,28,3
2505,0,1,3,3,0,24,20,7,2,3,4,9,18,8,14,28,38,37,11,1,31,0,1,26,79,24,14,5
2506,7,2,0,4,1,10,12,6,7,1,1,21,38,27,28,65,29,47,25,4,162,3,35,19,122,5,60,9
2507,2,0,1,1,3,1,12,3,3,2,2,8,20,10,7,20,18,15,15,2,129,2,53,23,35,10,26,7
2508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509,9,4,3,0,1,39,31,9,13,1,8,11,33,26,52,73,101,54,31,4,101,3,134,48,150,27,56,18
2601,2,4,1,2,4,29,47,9,5,14,6,16,44,23,34,59,52,37,22,3,50,0,14,24,103,21,22,8
2602,2,4,1,2,4,29,47,9,5,14,6,16,44,23,34,59,52,37,22,3,50,0,14,24,103,21,22,8
2603,2,4,1,2,4,29,47,9,5,14,6,16,44,23,34,59,52,37,22,3,50,0,14,24,103,21,22,8
2701,30,4,5,6,3,52,58,23,10,11,9,44,107,53,64,147,151,62,38,5,93,6,108,80,197,177,114,8
2702,6,3,3,6,2,48,36,17,17,3,4,30,76,43,46,82,158,49,42,4,151,4,345,57,131,174,97,2
2703,5,3,3,1,2,35,30,6,3,2,4,15,51,24,22,50,128,26,14,1,55,2,83,45,90,174,71,3
2801,9,1,4,14,16,55,103,28,22,9,22,61,93,65,97,179,141,131,97,15,122,7,133,83,268,51,84,25
2802,8,4,4,2,1,17,34,4,4,1,11,5,27,26,32,56,77,48,34,8,16,1,10,37,117,19,56,5
2803,8,4,4,2,1,17,34,4,4,1,11,5,27,26,32,56,77,48,34,8,16,1,10,37,117,19,56,5
2901,26,8,2,0,6,8,43,5,3,8,13,18,35,20,59,46,108,42,31,4,18,1,15,41,203,83,52,10
2902,25,2,2,1,3,6,42,5,4,5,10,17,25,18,57,41,80,43,18,4,12,0,12,38,176,115,32,5
2903,19,2,4,1,4,5,36,4,2,9,7,6,20,22,49,38,59,25,18,2,17,0,7,29,147,40,31,1
2904,29,2,2,3,4,6,50,3,3,6,8,9,32,18,47,36,71,25,21,2,20,0,14,22,198,45,37,6
2905,19,1,1,1,3,3,27,2,2,4,4,3,11,15,37,38,48,22,14,2,8,0,8,18,135,38,23,0
3001,5,1,0,4,5,8,42,8,5,3,6,15,46,28,43,60,27,35,11,1,37,1,50,24,62,56,37,10
3002,2,4,1,3,0,20,22,6,3,3,9,5,16,10,26,27,48,29,5,0,11,0,12,31,102,77,34,3
3003,2,4,1,3,0,20,22,6,3,3,9,5,16,10,26,27,48,29,5,0,11,0,12,31,102,77,34,3
3101,3,1,1,4,2,32,27,8,2,2,2,9,30,7,18,37,41,19,11,5,16,1,0,12,82,32,22,1
3102,1,1,1,2,1,41,9,1,3,1,3,2,8,4,7,41,63,14,10,2,9,0,2,11,55,80,16,2
3103,1,1,1,2,1,41,9,1,3,1,3,2,8,4,7,41,63,14,10,2,9,0,2,11,55,80,16,2
3201,654,9,60,73,227,278,519,590,288,108,136,821,1438,677,790,1315,49,507,498,117,535,22,475,562,1677,11,341,213
3202,99,2,23,45,80,98,185,239,110,25,35,345,506,279,299,502,24,235,291,50,194,3,189,260,824,6,184,85
3203,172,6,13,34,45,95,216,126,101,44,72,252,461,273,333,580,77,274,297,36,255,6,189,246,919,31,265,90
3204,20,2,3,1,7,14,26,12,16,6,12,35,62,34,151,102,18,100,52,21,81,3,145,58,237,5,40,23
3205,28,1,1,1,0,4,12,3,2,2,4,7,14,13,31,28,33,32,15,3,14,1,19,33,97,21,27,12
3206,53,0,9,11,22,27,83,41,48,10,32,95,171,141,164,236,28,186,149,27,148,4,167,196,610,3,171,77
3207,41,2,1,2,4,5,25,16,4,8,7,17,36,25,36,45,35,57,35,4,17,1,22,42,136,17,44,14
