MUNICIPIO,ISIC,ESTWORKERS
1701,'5220,135
1701,'5231,80
1701,'5232,10
1701,'5234,65
1701,'5239,65
1701,'5259,5
1701,'5520,5
1701,'6021,65
1701,'6420,60
1701,'6519,105
1701,'6592,10
1701,'6602,5
1701,'7010,5
1701,'7020,20
1701,'7111,5
1701,'7421,10
1701,'7492,5
1701,'7499,15
1701,'8010,60
1701,'8021,30
1701,'8022,5
1701,'8030,10
1701,'8511,160
1701,'8520,5
1701,'9111,30
1701,'9199,5
1701,'9219,5
1702,'1554,5
1702,'5231,5
1702,'6021,30
1801,'0111,10
1801,'0112,60
1801,'0121,5
1801,'0140,30
1801,'1520,90
1801,'1541,100
1801,'1549,5
1801,'1551,600
1801,'1554,135
1801,'1600,5
1801,'1711,30
1801,'1712,30
1801,'1723,390
1801,'1730,330
1801,'1810,35
1801,'1820,300
1801,'2022,65
1801,'2029,5
1801,'2221,50
1801,'2222,40
1801,'2693,30
1801,'2699,30
1801,'2710,35
1801,'2919,30
1801,'2929,30
1801,'3110,30
1801,'3140,15
1801,'3150,75
1801,'3190,30
1801,'3320,10
1801,'3699,205
1801,'4010,60
1801,'4520,205
1801,'4530,30
1801,'5010,110
1801,'5020,90
1801,'5030,10
1801,'5050,255
1801,'5110,25
1801,'5121,5
1801,'5122,25
1801,'5131,5
1801,'5139,40
1801,'5143,140
1801,'5150,315
1801,'5190,485
1801,'5211,360
1801,'5219,210
1801,'5220,25
1801,'5231,215
1801,'5232,145
1801,'5233,245
1801,'5234,535
1801,'5239,385
1801,'5259,30
1801,'5510,1705
1801,'5520,285
1801,'6021,455
1801,'6110,65
1801,'6120,5
1801,'6220,205
1801,'6301,75
1801,'6303,60
1801,'6304,905
1801,'6309,155
1801,'6420,600
1801,'6519,855
1801,'6592,1195
1801,'6602,10
1801,'6719,15
1801,'6720,5
1801,'7010,870
1801,'7020,3540
1801,'7111,60
1801,'7129,45
1801,'7130,5
1801,'7220,10
1801,'7250,5
1801,'7411,80
1801,'7412,5
1801,'7414,35
1801,'7421,380
1801,'7430,45
1801,'7492,100
1801,'7494,30
1801,'7499,105
1801,'8010,165
1801,'8021,5
1801,'8022,30
1801,'8090,45
1801,'8511,545
1801,'8520,5
1801,'9111,5
1801,'9211,40
1801,'9213,10
1801,'9214,5
1801,'9219,470
1801,'9241,290
1801,'9249,35
1801,'9309,100
1802,'5050,30
1803,'3610,30
1803,'5050,5
1803,'5231,5
1804,'1541,5
1804,'5234,30
1805,'5231,10
1806,'5231,20
1806,'5510,300
1807,'1511,300
1807,'1520,40
1807,'1552,5
1807,'1600,5
1807,'2221,5
1807,'2693,30
1807,'3610,5
1807,'4010,30
1807,'4510,35
1807,'4520,255
1807,'5020,5
1807,'5050,40
1807,'5122,10
1807,'5190,10
1807,'5211,205
1807,'5220,5
1807,'5231,25
1807,'5232,5
1807,'5233,10
1807,'5234,10
1807,'5239,35
1807,'5510,350
1807,'5520,70
1807,'6304,70
1807,'6592,15
1807,'6603,5
1807,'7010,45
1807,'7020,25
1807,'7111,30
1807,'7220,5
1807,'7412,15
1807,'7414,5
1807,'7492,65
1807,'7494,5
1807,'8010,10
1807,'8022,5
1807,'9111,30
1807,'9241,5
1807,'9249,75
1809,'5231,5
1901,'0112,5
1901,'0113,30
1901,'1533,30
1901,'1543,30
1901,'1810,300
1901,'3110,5
1901,'5010,40
1901,'5030,5
1901,'5040,5
1901,'5141,5
1901,'5143,30
1901,'5231,70
1901,'5239,5
1901,'6021,5
1901,'6304,35
