mun,1,2,3,11,12,13,14,21,22,23,24,25,26,31,32,33,34,35,36,37,41,42,43,44,51,52,53,54,61,62,63,71,72,73,74,75,81,82,83,91,92,93,94,95,96,98,10,15,16,17,18,19,20,27,28,29,30,40,45,5,50,55,60,64,65,66,67,70,80,85,90
602,0,0,21,12,4,25,8,8,21,172,12,0,12,42,75,21,4,4,4,0,130,206,8,12,130,383,21,164,707,8,0,147,50,4,0,71,54,0,219,729,745,101,4,0,54,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,0,0,9,9,0,28,18,28,18,341,0,0,9,28,85,56,37,0,75,0,94,151,0,9,104,397,37,142,795,0,0,113,47,0,18,85,37,0,132,757,653,66,0,0,85,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,0,0,0,5,0,31,26,37,42,127,26,0,26,90,85,21,37,10,15,0,127,228,37,5,170,430,47,143,734,0,10,159,47,0,74,69,79,0,196,702,484,164,10,0,79,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,26,0,0,0,0,0,159,0
605,0,0,42,25,8,51,17,17,42,350,25,0,25,85,153,42,8,8,8,0,265,419,17,25,307,778,42,333,1436,17,0,299,102,8,0,145,111,0,444,1479,1513,205,8,0,111,162,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,0,0,0,5,0,31,26,36,41,125,26,0,26,89,83,20,36,10,15,0,125,225,36,5,167,450,47,141,723,0,10,157,47,0,73,68,78,0,193,691,476,162,10,0,78,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0,0,2,2,0,8,5,8,5,107,0,0,2,8,26,17,11,0,23,0,29,47,0,2,32,110,11,44,250,0,0,35,14,0,5,26,11,0,41,238,205,20,0,0,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,9,0,425,108,0,49,9,69,49,455,9,0,9,29,138,118,19,19,98,0,138,108,29,9,98,336,9,316,375,39,0,128,0,0,39,39,59,0,98,939,296,98,0,0,187,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,1,0,80,20,0,9,1,13,9,85,1,0,1,5,26,22,3,3,18,0,26,20,5,1,18,44,1,59,70,7,0,24,0,0,7,7,11,0,18,177,56,18,0,0,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,0,0,16,16,4,12,0,0,4,79,0,0,4,0,45,12,8,4,20,0,29,20,12,4,37,33,8,58,162,0,0,41,29,0,8,8,8,0,33,212,50,29,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,0,0,32,32,8,24,0,0,8,154,0,0,8,0,89,24,16,8,40,0,56,40,24,8,73,64,16,113,316,0,0,81,56,0,16,16,16,0,64,414,97,56,0,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
