mun,1,2,3,11,12,13,14,21,22,23,24,25,26,31,32,33,34,35,36,37,41,42,43,44,51,52,53,54,61,62,63,71,72,73,74,75,81,82,83,91,92,93,94,95,96,98,MUNTOTAL,share1,share2,share3,share11,share12,share13,share14,share21,share22,share23,share24,share25,share26,share31,share32,share33,share34,share35,share36,share37,share41,share42,share43,share44,share51,share52,share53,share54,share61,share62,share63,share71,share72,share73,share74,share75,share81,share82,share83,share91,share92,share93,share94,share95,share96,share98
405,0,0,17,4,0,4,1,1,1,23,5,0,3,3,6,4,4,0,5,0,14,15,2,0,14,29,1,33,91,1,1,30,1,0,5,6,8,0,27,118,19,17,0,1,16,14,544,0.0,0.0,0.03125,0.00735294117647,0.0,0.00735294117647,0.00183823529412,0.00183823529412,0.00183823529412,0.0422794117647,0.00919117647059,0.0,0.00551470588235,0.00551470588235,0.0110294117647,0.00735294117647,0.00735294117647,0.0,0.00919117647059,0.0,0.0257352941176,0.0275735294118,0.00367647058824,0.0,0.0257352941176,0.0533088235294,0.00183823529412,0.0606617647059,0.167279411765,0.00183823529412,0.00183823529412,0.0551470588235,0.00183823529412,0.0,0.00919117647059,0.0110294117647,0.0147058823529,0.0,0.0496323529412,0.216911764706,0.0349264705882,0.03125,0.0,0.00183823529412,0.0294117647059,0.0257352941176
406,1,0,71,7,2,27,13,26,53,117,29,3,15,45,56,40,14,8,14,0,92,99,25,8,111,220,9,166,51,3,0,139,79,10,33,68,81,0,115,409,51,79,3,0,62,45,2499,0.000400160064026,0.0,0.0284113645458,0.00280112044818,0.000800320128051,0.0108043217287,0.00520208083233,0.0104041616647,0.0212084833934,0.046818727491,0.0116046418567,0.00120048019208,0.00600240096038,0.0180072028812,0.0224089635854,0.016006402561,0.00560224089636,0.0032012805122,0.00560224089636,0.0,0.0368147258904,0.0396158463385,0.0100040016006,0.0032012805122,0.0444177671068,0.0880352140856,0.00360144057623,0.0664265706283,0.0204081632653,0.00120048019208,0.0,0.0556222488996,0.031612645058,0.00400160064026,0.0132052821128,0.0272108843537,0.0324129651861,0.0,0.0460184073629,0.163665466186,0.0204081632653,0.031612645058,0.00120048019208,0.0,0.0248099239696,0.0180072028812
407,1,0,71,7,2,27,13,26,53,117,29,3,15,45,56,40,14,8,14,0,92,99,25,8,111,220,9,166,51,3,0,139,79,10,33,68,81,0,115,409,51,79,3,0,62,45,2499,0.000400160064026,0.0,0.0284113645458,0.00280112044818,0.000800320128051,0.0108043217287,0.00520208083233,0.0104041616647,0.0212084833934,0.046818727491,0.0116046418567,0.00120048019208,0.00600240096038,0.0180072028812,0.0224089635854,0.016006402561,0.00560224089636,0.0032012805122,0.00560224089636,0.0,0.0368147258904,0.0396158463385,0.0100040016006,0.0032012805122,0.0444177671068,0.0880352140856,0.00360144057623,0.0664265706283,0.0204081632653,0.00120048019208,0.0,0.0556222488996,0.031612645058,0.00400160064026,0.0132052821128,0.0272108843537,0.0324129651861,0.0,0.0460184073629,0.163665466186,0.0204081632653,0.031612645058,0.00120048019208,0.0,0.0248099239696,0.0180072028812
408,1,0,71,7,2,27,13,26,53,117,29,3,15,45,56,40,14,8,14,0,92,99,25,8,111,220,9,166,51,3,0,139,79,10,33,68,81,0,115,409,51,79,3,0,62,45,2499,0.000400160064026,0.0,0.0284113645458,0.00280112044818,0.000800320128051,0.0108043217287,0.00520208083233,0.0104041616647,0.0212084833934,0.046818727491,0.0116046418567,0.00120048019208,0.00600240096038,0.0180072028812,0.0224089635854,0.016006402561,0.00560224089636,0.0032012805122,0.00560224089636,0.0,0.0368147258904,0.0396158463385,0.0100040016006,0.0032012805122,0.0444177671068,0.0880352140856,0.00360144057623,0.0664265706283,0.0204081632653,0.00120048019208,0.0,0.0556222488996,0.031612645058,0.00400160064026,0.0132052821128,0.0272108843537,0.0324129651861,0.0,0.0460184073629,0.163665466186,0.0204081632653,0.031612645058,0.00120048019208,0.0,0.0248099239696,0.0180072028812
409,0,2,16,2,2,5,1,3,5,35,2,0,4,9,14,9,5,2,9,0,5,10,1,0,10,12,1,37,42,1,0,17,4,0,4,5,10,0,23,60,25,14,0,0,10,3,419,0.0,0.00477326968974,0.0381861575179,0.00477326968974,0.00477326968974,0.0119331742243,0.00238663484487,0.00715990453461,0.0119331742243,0.0835322195704,0.00477326968974,0.0,0.00954653937947,0.0214797136038,0.0334128878282,0.0214797136038,0.0119331742243,0.00477326968974,0.0214797136038,0.0,0.0119331742243,0.0238663484487,0.00238663484487,0.0,0.0238663484487,0.0286396181384,0.00238663484487,0.0883054892601,0.100238663484,0.00238663484487,0.0,0.0405727923628,0.00954653937947,0.0,0.00954653937947,0.0119331742243,0.0238663484487,0.0,0.054892601432,0.143198090692,0.0596658711217,0.0334128878282,0.0,0.0,0.0238663484487,0.00715990453461
410,0,2,16,2,2,5,1,3,5,35,2,0,4,9,14,9,5,2,9,0,5,10,1,0,10,12,1,37,42,1,0,17,4,0,4,5,10,0,23,60,25,14,0,0,10,3,419,0.0,0.00477326968974,0.0381861575179,0.00477326968974,0.00477326968974,0.0119331742243,0.00238663484487,0.00715990453461,0.0119331742243,0.0835322195704,0.00477326968974,0.0,0.00954653937947,0.0214797136038,0.0334128878282,0.0214797136038,0.0119331742243,0.00477326968974,0.0214797136038,0.0,0.0119331742243,0.0238663484487,0.00238663484487,0.0,0.0238663484487,0.0286396181384,0.00238663484487,0.0883054892601,0.100238663484,0.00238663484487,0.0,0.0405727923628,0.00954653937947,0.0,0.00954653937947,0.0119331742243,0.0238663484487,0.0,0.054892601432,0.143198090692,0.0596658711217,0.0334128878282,0.0,0.0,0.0238663484487,0.00715990453461
411,0,0,17,4,0,4,1,1,1,23,5,0,3,3,6,4,4,0,5,0,14,15,2,0,14,29,1,33,91,1,1,30,1,0,5,6,8,0,27,118,19,17,0,1,16,14,544,0.0,0.0,0.03125,0.00735294117647,0.0,0.00735294117647,0.00183823529412,0.00183823529412,0.00183823529412,0.0422794117647,0.00919117647059,0.0,0.00551470588235,0.00551470588235,0.0110294117647,0.00735294117647,0.00735294117647,0.0,0.00919117647059,0.0,0.0257352941176,0.0275735294118,0.00367647058824,0.0,0.0257352941176,0.0533088235294,0.00183823529412,0.0606617647059,0.167279411765,0.00183823529412,0.00183823529412,0.0551470588235,0.00183823529412,0.0,0.00919117647059,0.0110294117647,0.0147058823529,0.0,0.0496323529412,0.216911764706,0.0349264705882,0.03125,0.0,0.00183823529412,0.0294117647059,0.0257352941176
501,4,0,31,4,1,11,5,9,15,33,5,0,5,17,15,17,10,3,5,0,23,56,8,4,39,80,1,34,57,1,0,20,27,2,4,19,15,0,24,121,20,35,1,0,30,13,824,0.00485436893204,0.0,0.0376213592233,0.00485436893204,0.00121359223301,0.0133495145631,0.00606796116505,0.0109223300971,0.0182038834951,0.0400485436893,0.00606796116505,0.0,0.00606796116505,0.0206310679612,0.0182038834951,0.0206310679612,0.0121359223301,0.00364077669903,0.00606796116505,0.0,0.0279126213592,0.0679611650485,0.00970873786408,0.00485436893204,0.0473300970874,0.0970873786408,0.00121359223301,0.0412621359223,0.0691747572816,0.00121359223301,0.0,0.0242718446602,0.0327669902913,0.00242718446602,0.00485436893204,0.0230582524272,0.0182038834951,0.0,0.0291262135922,0.146844660194,0.0242718446602,0.0424757281553,0.00121359223301,0.0,0.0364077669903,0.0157766990291
502,1,1,21,6,3,12,2,4,10,44,1,0,4,12,18,15,6,2,8,1,20,43,6,4,31,43,4,47,129,9,0,39,9,1,5,21,28,0,31,156,54,26,0,0,20,25,922,0.00108459869848,0.00108459869848,0.0227765726681,0.00650759219089,0.00325379609544,0.0130151843818,0.00216919739696,0.00433839479393,0.0108459869848,0.0477223427332,0.00108459869848,0.0,0.00433839479393,0.0130151843818,0.0195227765727,0.0162689804772,0.00650759219089,0.00216919739696,0.00867678958785,0.00108459869848,0.0216919739696,0.0466377440347,0.00650759219089,0.00433839479393,0.0336225596529,0.0466377440347,0.00433839479393,0.0509761388286,0.139913232104,0.00976138828633,0.0,0.0422993492408,0.00976138828633,0.00108459869848,0.00542299349241,0.0227765726681,0.0303687635575,0.0,0.0336225596529,0.169197396963,0.058568329718,0.0281995661605,0.0,0.0,0.0216919739696,0.027114967462
503,1,1,21,6,3,12,2,4,10,44,1,0,4,12,18,15,6,2,8,1,20,43,6,4,31,43,4,47,129,9,0,39,9,1,5,21,28,0,31,156,54,26,0,0,20,25,922,0.00108459869848,0.00108459869848,0.0227765726681,0.00650759219089,0.00325379609544,0.0130151843818,0.00216919739696,0.00433839479393,0.0108459869848,0.0477223427332,0.00108459869848,0.0,0.00433839479393,0.0130151843818,0.0195227765727,0.0162689804772,0.00650759219089,0.00216919739696,0.00867678958785,0.00108459869848,0.0216919739696,0.0466377440347,0.00650759219089,0.00433839479393,0.0336225596529,0.0466377440347,0.00433839479393,0.0509761388286,0.139913232104,0.00976138828633,0.0,0.0422993492408,0.00976138828633,0.00108459869848,0.00542299349241,0.0227765726681,0.0303687635575,0.0,0.0336225596529,0.169197396963,0.058568329718,0.0281995661605,0.0,0.0,0.0216919739696,0.027114967462
