PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'2912,1-9,2,8021,8021
1,101,'2915,50-99,1,484,484
1,101,'2919,1-9,13,8021,8021
1,101,'2919,10-49,9,3121,3121
1,101,'2919,50-99,1,484,484
1,101,'2921,1-9,2,8021,8021
1,101,'2922,1-9,4,8021,8021
1,101,'2924,1-9,1,8021,8021
1,101,'2925,10-49,1,3121,3121
1,101,'2926,1-9,1,8021,8021
1,101,'2929,1-9,6,8021,8021
1,101,'2929,10-49,4,3121,3121
1,101,'2929,100-249,1,298,298
1,101,'2930,1-9,4,8021,8021
1,101,'2930,10-49,3,3121,3121
1,101,'3000,1-9,4,8021,8021
1,101,'3000,10-49,1,3121,3121
1,101,'3110,1-9,21,8021,8021
1,101,'3110,10-49,4,3121,3121
1,101,'3110,50-99,2,484,484
1,101,'3120,1-9,3,8021,8021
1,101,'3120,10-49,3,3121,3121
1,101,'3120,250-,1,248,248
1,101,'3130,10-49,2,3121,3121
1,101,'3140,1-9,6,8021,8021
1,101,'3150,10-49,3,3121,3121
1,101,'3190,1-9,24,8021,8021
1,101,'3190,10-49,9,3121,3121
1,101,'3210,1-9,7,8021,8021
1,101,'3220,1-9,1,8021,8021
1,101,'3220,10-49,1,3121,3121
1,101,'3230,1-9,2,8021,8021
1,101,'3311,1-9,6,8021,8021
1,101,'3311,10-49,1,3121,3121
1,101,'3312,1-9,2,8021,8021
1,101,'3313,10-49,1,3121,3121
1,101,'3320,1-9,9,8021,8021
1,101,'3320,10-49,3,3121,3121
1,101,'3320,100-249,3,298,298
1,101,'3320,50-99,1,484,484
1,101,'3410,1-9,14,8021,8021
1,101,'3430,1-9,3,8021,8021
1,101,'3430,10-49,3,3121,3121
1,101,'3511,1-9,2,8021,8021
1,101,'3511,10-49,1,3121,3121
1,101,'3530,1-9,1,8021,8021
1,101,'3530,10-49,1,3121,3121
1,101,'3592,1-9,1,8021,8021
1,101,'3610,1-9,37,8021,8021
1,101,'3610,10-49,31,3121,3121
1,101,'3610,100-249,2,298,298
1,101,'3610,50-99,1,484,484
1,101,'3691,1-9,6,8021,8021
1,101,'3691,10-49,4,3121,3121
1,101,'3693,1-9,1,8021,8021
1,101,'3694,1-9,1,8021,8021
1,101,'3699,1-9,13,8021,8021
1,101,'3699,10-49,1,3121,3121
1,101,'3699,50-99,1,484,484
1,101,'4010,1-9,15,8021,8021
1,101,'4010,10-49,8,3121,3121
1,101,'4010,100-249,2,298,298
1,101,'4010,250-,6,248,248
1,101,'4010,50-99,5,484,484
1,101,'4020,1-9,4,8021,8021
1,101,'4020,10-49,9,3121,3121
1,101,'4020,250-,3,248,248
1,101,'4020,50-99,1,484,484
1,101,'4030,1-9,2,8021,8021
1,101,'4030,10-49,1,3121,3121
1,101,'4030,250-,1,248,248
1,101,'4100,1-9,2,8021,8021
1,101,'4100,10-49,1,3121,3121
1,101,'4100,250-,1,248,248
1,101,'4510,1-9,11,8021,8021
1,101,'4510,10-49,29,3121,3121
1,101,'4510,250-,1,248,248
1,101,'4520,1-9,497,8021,8021
1,101,'4520,10-49,157,3121,3121
1,101,'4520,100-249,7,298,298
1,101,'4520,250-,5,248,248
1,101,'4520,50-99,21,484,484
1,101,'4530,1-9,76,8021,8021
1,101,'4530,10-49,18,3121,3121
1,101,'4530,100-249,2,298,298
1,101,'4530,50-99,5,484,484
1,101,'4540,1-9,22,8021,8021
1,101,'4540,10-49,6,3121,3121
1,101,'4540,50-99,1,484,484
1,101,'4550,1-9,24,8021,8021
1,101,'4550,10-49,19,3121,3121
1,101,'5010,1-9,113,8021,8021
1,101,'5010,10-49,41,3121,3121
1,101,'5010,100-249,6,298,298
1,101,'5010,250-,5,248,248
1,101,'5010,50-99,9,484,484
1,101,'5020,1-9,124,8021,8021
1,101,'5020,10-49,74,3121,3121
1,101,'5020,100-249,1,298,298
1,101,'5020,50-99,6,484,484
1,101,'5030,1-9,247,8021,8021
1,101,'5030,10-49,92,3121,3121
1,101,'5030,100-249,3,298,298
1,101,'5030,50-99,5,484,484
1,101,'5040,1-9,5,8021,8021
1,101,'5040,10-49,5,3121,3121
1,101,'5050,1-9,58,8021,8021
1,101,'5050,10-49,54,3121,3121
1,101,'5050,100-249,1,298,298
1,101,'5050,250-,2,248,248
1,101,'5050,50-99,6,484,484
1,101,'5110,1-9,51,8021,8021
1,101,'5110,10-49,16,3121,3121
1,101,'5110,50-99,1,484,484
1,101,'5121,1-9,16,8021,8021
1,101,'5121,10-49,8,3121,3121
1,101,'5121,50-99,1,484,484
1,101,'5122,1-9,52,8021,8021
1,101,'5122,10-49,31,3121,3121
1,101,'5122,100-249,5,298,298
1,101,'5122,250-,1,248,248
1,101,'5122,50-99,2,484,484
1,101,'5131,1-9,164,8021,8021
1,101,'5131,10-49,44,3121,3121
1,101,'5131,100-249,4,298,298
1,101,'5131,250-,1,248,248
1,101,'5131,50-99,8,484,484
1,101,'5139,1-9,44,8021,8021
